Source,Target,Weight,Type
1,16,371,Undirected
1,14,291,Undirected
1,10,286,Undirected
10,16,283,Undirected
14,16,276,Undirected
10,14,228,Undirected
1,2,200,Undirected
2,16,196,Undirected
1,12,176,Undirected
12,16,170,Undirected
1,17,165,Undirected
2,10,161,Undirected
2,14,160,Undirected
16,17,152,Undirected
14,17,146,Undirected
10,17,135,Undirected
10,12,126,Undirected
12,14,121,Undirected
1,8,100,Undirected
8,16,95,Undirected
2,17,93,Undirected
1,5,88,Undirected
2,12,87,Undirected
8,14,86,Undirected
8,10,86,Undirected
5,16,86,Undirected
1,4,82,Undirected
4,16,81,Undirected
4,10,69,Undirected
13,16,68,Undirected
12,17,67,Undirected
1,13,66,Undirected
4,14,65,Undirected
5,14,64,Undirected
2,8,55,Undirected
2,5,55,Undirected
5,10,55,Undirected
10,13,54,Undirected
8,17,52,Undirected
13,14,50,Undirected
2,4,50,Undirected
6,14,50,Undirected
5,12,49,Undirected
6,16,49,Undirected
1,6,48,Undirected
4,12,48,Undirected
6,10,46,Undirected
8,12,41,Undirected
12,13,35,Undirected
4,17,35,Undirected
5,17,33,Undirected
2,6,33,Undirected
2,13,31,Undirected
15,16,29,Undirected
1,15,27,Undirected
1,11,27,Undirected
8,13,25,Undirected
13,17,24,Undirected
11,16,24,Undirected
5,13,23,Undirected
6,17,22,Undirected
10,11,22,Undirected
11,14,21,Undirected
6,8,19,Undirected
4,8,18,Undirected
10,15,18,Undirected
14,15,17,Undirected
4,5,17,Undirected
11,17,16,Undirected
2,11,15,Undirected
5,8,14,Undirected
5,6,14,Undirected
1,9,13,Undirected
2,15,13,Undirected
4,13,12,Undirected
9,14,11,Undirected
9,16,11,Undirected
5,15,10,Undirected
4,6,10,Undirected
9,10,9,Undirected
6,12,9,Undirected
6,13,9,Undirected
2,9,8,Undirected
5,11,7,Undirected
11,12,7,Undirected
12,15,6,Undirected
15,17,6,Undirected
6,15,5,Undirected
1,7,4,Undirected
2,7,4,Undirected
1,3,4,Undirected
3,14,4,Undirected
3,16,4,Undirected
13,15,4,Undirected
11,13,4,Undirected
8,15,4,Undirected
3,5,3,Undirected
3,10,3,Undirected
3,12,3,Undirected
3,17,3,Undirected
7,14,3,Undirected
7,16,3,Undirected
4,11,3,Undirected
9,12,2,Undirected
9,17,2,Undirected
3,13,2,Undirected
2,3,2,Undirected
7,10,2,Undirected
4,9,2,Undirected
3,8,1,Undirected
5,7,1,Undirected
7,12,1,Undirected
11,15,1,Undirected
7,11,1,Undirected
7,17,1,Undirected
7,13,1,Undirected
3,11,1,Undirected
4,15,1,Undirected
